City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ivanjica,75,RS,1584217358,65,43.58,20.23,46.4,3.36
Kalāleh,100,IR,1584217358,87,37.38,55.49,55.4,9.17
Shache,42,CN,1584217359,27,38.42,77.24,43.83,5.17
Tilichiki,100,RU,1584217359,96,60.47,166.1,27.45,16.08
Eston,90,CA,1584217359,72,51.15,-108.75,17.01,25.28
Tuatapere,100,NZ,1584217359,84,-46.13,167.68,54.0,3.0
Malumfashi,94,NG,1584217359,16,11.79,7.62,71.19,9.55
Ambon City,40,ID,1584217359,88,-3.7,128.18,77.0,8.05
Margate,20,GB,1584217220,87,51.38,1.39,48.99,14.99
Mindyak,90,RU,1584217360,100,54.02,58.79,33.8,8.95
Santa Maria,40,BR,1584217360,24,-29.68,-53.81,104.0,3.36
Rome,90,US,1584217150,64,43.21,-75.46,39.99,10.29
Provincia di Rimini,75,IT,1584217361,71,44.02,12.52,55.4,10.29
Slave Lake,1,CA,1584217361,64,55.28,-114.77,-4.0,2.24
Tianpeng,52,CN,1584217361,71,30.99,103.94,57.0,3.22
Kamenka,0,RU,1584217362,92,51.32,42.77,37.99,5.99
Akureyri,40,IS,1584217363,84,65.68,-18.09,6.8,12.75
Jeremoabo,58,BR,1584217191,62,-10.07,-38.48,78.39,9.57
Tromsø,90,NO,1584217363,85,69.65,18.96,28.4,4.7
Aborlan,0,PH,1584217363,91,9.44,118.55,70.11,3.13
Alugan,90,PH,1584217363,73,12.22,125.48,76.05,4.97
Mehamn,100,NO,1584217363,77,71.04,27.85,11.61,15.95
Goderich,100,CA,1584217364,79,43.75,-81.72,33.01,10.65
Jieshi,1,CN,1584217364,63,22.81,115.83,66.99,4.5
Ust-Nera,0,RU,1584217073,96,64.57,143.2,-28.71,1.16
Iquique,0,CL,1584217156,57,-20.22,-70.14,77.0,18.34
Fukuechō,0,JP,1584217364,46,32.69,128.84,50.0,18.34
Khovd,0,MN,1584217364,41,48.01,91.64,20.07,7.74
Peru,90,US,1584217309,100,40.75,-86.07,37.99,9.17
Pochutla,20,MX,1584217364,55,15.74,-96.47,91.0,17.22
Amapá,100,BR,1584217365,91,1.0,-52.0,78.03,2.06
Anadyr,40,RU,1584217365,92,64.75,177.48,19.4,29.08
Mandalgovi,18,MN,1584217365,38,45.76,106.27,27.81,8.1
Koshurnikovo,73,RU,1584217323,93,54.17,93.3,25.11,2.53
Barcelos,0,PT,1584217365,87,41.54,-8.62,55.99,6.93
Evensk,100,RU,1584217365,95,61.95,159.23,14.49,9.35
Sandwich,90,US,1584217366,86,41.65,-88.62,37.4,8.05
Trairi,100,BR,1584217366,95,-3.28,-39.27,75.87,2.48
Kopervik,75,NO,1584217366,86,59.28,5.31,39.99,26.4
Russell,20,US,1584217366,37,32.35,-85.2,86.0,6.93
Marfino,90,RU,1584217366,85,55.7,37.38,26.6,15.66
Kralendijk,40,BQ,1584217366,55,12.15,-68.27,86.0,10.29
Pirgos,20,GR,1584217367,76,35.12,25.72,60.01,4.7
Lovozero,25,RU,1584217367,88,68.0,35.01,4.05,9.78
Praia,36,CV,1584217367,36,14.92,-23.51,80.6,19.46
Zhaoyuan,0,CN,1584217367,46,37.36,120.4,37.0,3.94
Katsuura,40,JP,1584217125,75,35.13,140.3,42.8,9.17
Maxixe,0,MZ,1584217319,81,-23.86,35.35,78.21,8.28
Teguise,20,ES,1584217367,68,29.06,-13.56,64.4,11.41
Kenai,1,US,1584217351,66,60.55,-151.26,23.0,5.82
Beyneu,100,KZ,1584217368,78,45.32,55.2,52.47,7.78
Morro da Fumaça,0,BR,1584217368,70,-28.65,-49.21,79.11,4.0
Zarinsk,100,RU,1584217265,79,53.71,84.95,34.47,20.36
Bambanglipuro,0,ID,1584217368,92,-7.95,110.28,75.15,4.07
Turaif,40,SA,1584217368,100,31.67,38.66,51.8,14.99
Bundaberg,90,AU,1584217349,82,-24.85,152.35,66.99,5.82
Caravaggio,75,IT,1584217369,81,45.5,9.64,51.01,2.24
Clyde River,20,CA,1584217369,62,70.47,-68.59,-16.6,1.07
Atenas de San Cristóbal,20,HN,1584217369,62,15.68,-87.32,87.8,14.99
Puerto Madryn,0,AR,1584217369,33,-42.77,-65.04,68.67,13.98
Okakarara,38,NA,1584217369,51,-20.58,17.43,72.63,6.96
Ambulu,97,ID,1584217369,86,-8.35,113.61,79.83,5.61
Tirano,90,IT,1584217371,68,46.22,10.17,46.99,12.75
Bereket,100,TM,1584217371,30,39.24,55.52,65.43,8.59
Preobrazheniye,100,RU,1584217372,80,42.9,133.91,25.47,3.6
Hamilton,90,US,1584217261,86,39.18,-84.53,39.99,11.41
Rio Pardo de Minas,100,BR,1584217373,88,-15.61,-42.54,70.65,6.55
Umm Hājar,0,TD,1584217373,11,13.3,19.7,73.71,12.93
Ermua,0,ES,1584217373,71,43.18,-2.5,52.0,3.36
Yakeshi,31,CN,1584217373,91,49.28,120.73,-8.73,6.62
Neuquén,0,AR,1584217374,10,-38.95,-68.06,75.2,8.05
Tomatlán,0,MX,1584217343,50,19.93,-105.25,87.21,9.19
Benalla,0,AU,1584217374,81,-36.55,145.98,50.0,4.7
Yuzhnyy,100,RU,1584217374,59,53.25,83.69,37.4,20.13
Golden,90,US,1584217243,74,39.76,-105.22,53.01,3.36
Yulin,61,CN,1584217374,77,22.63,110.15,65.25,2.26
Carutapera,67,BR,1584217374,83,-1.2,-46.02,81.45,13.78
Santo Antônio do Sudoeste,0,BR,1584217375,54,-26.07,-53.73,83.43,3.18
Semporna,20,MY,1584217375,94,4.48,118.61,75.2,4.7
Zhangye,100,CN,1584217375,34,38.93,100.45,34.11,2.59
Sungai Penuh,55,ID,1584217375,98,-2.08,101.38,62.01,2.15
Key West,20,US,1584217375,65,24.56,-81.78,84.2,17.22
Alta Floresta,20,BR,1584217375,66,-9.88,-56.09,89.6,3.36
Yerbogachën,100,RU,1584217362,94,61.28,108.01,27.09,9.64
Meulaboh,100,ID,1584217324,73,4.14,96.13,83.43,7.02
Lucea,20,JM,1584217376,70,18.45,-78.17,87.01,21.92
Beaverlodge,5,CA,1584217376,69,55.22,-119.44,-11.2,4.7
Birin,1,NP,1584217097,74,26.89,88.07,48.15,5.28
Aklavik,90,CA,1584217319,58,68.22,-135.01,24.8,4.18
Houma,1,US,1584217377,65,29.6,-90.72,86.0,9.17
Makungu,100,TZ,1584217377,93,-8.73,35.28,58.05,3.71
Harbour Breton,92,CA,1584217377,90,47.48,-55.8,32.31,28.21
Price,90,US,1584217377,80,39.6,-110.81,43.0,3.15
Karratha,88,AU,1584217377,76,-20.74,116.85,83.07,14.34
Omsukchan,100,RU,1584217378,97,62.53,155.8,-7.65,0.34
Sapulpa,90,US,1584217378,76,36.0,-96.11,52.0,8.05
Wajima,1,JP,1584217378,49,37.4,136.9,40.77,6.11
Jönköping,37,SE,1584217357,74,57.78,14.16,32.0,6.93
Sinazongwe,63,ZM,1584217378,75,-17.26,27.46,77.31,2.71
Kirov,57,RU,1584217378,91,58.6,49.66,27.27,5.03
Medvedka,11,RU,1584217378,82,61.16,46.39,17.91,5.84
Guéret,0,FR,1584217379,81,46.17,1.87,48.99,5.82
Viedma,0,AR,1584217362,34,-40.81,-63.0,68.13,13.69
Khrebtovaya,100,RU,1584217379,97,56.7,104.25,28.89,8.19
Dabakala,32,CI,1584217379,43,8.37,-4.43,86.31,5.19
Tulum,40,MX,1584217379,58,20.22,-87.47,84.2,16.11
Teya,100,RU,1584217379,88,60.38,92.63,27.45,13.8
Gambissara,44,SN,1584217379,11,13.24,-14.31,87.03,6.22
Kudymkar,95,RU,1584217380,95,59.02,54.66,27.99,5.48
Aden,2,YE,1584217082,73,12.78,45.04,76.05,7.47
Larsnes,66,NO,1584217380,60,62.2,5.58,39.2,20.8
Dubuque,90,US,1584217167,86,42.48,-90.87,32.0,11.41
Igarka,100,RU,1584217380,97,67.47,86.58,30.15,16.26
Barberino di Mugello,75,IT,1584217380,54,44.0,11.24,55.4,10.29
Ericeira,0,PT,1584217380,77,38.96,-9.42,61.0,14.99
Santa Rosa,75,PH,1584217381,78,14.31,121.11,80.6,2.24
Cerrito,75,CO,1584217381,83,6.84,-72.69,77.0,4.7
Aleksandrovsk-Sakhalinskiy,99,RU,1584217381,83,50.9,142.16,16.29,6.38
Kara-Tyube,99,RU,1584217264,71,44.63,45.44,57.51,12.68
Sept-Îles,75,CA,1584217319,71,50.2,-66.38,32.0,10.29
Northam,75,GB,1584217381,81,51.03,-4.22,51.01,11.41
Shellbrook,90,CA,1584217092,55,53.22,-106.4,8.6,9.17
Banes,20,CU,1584217382,43,20.96,-75.72,87.8,18.34
Maningrida,66,AU,1584217382,70,-12.07,134.27,83.97,5.7
Karak,40,JO,1584217382,93,31.17,35.75,53.6,9.17
Asău,75,RO,1584217382,48,46.43,26.4,44.6,9.17
Walvis Bay,0,NA,1584217382,77,-22.96,14.51,66.2,8.05
Bang Saphan,99,TH,1584217382,92,11.21,99.51,76.59,4.34
Store Heddinge,43,DK,1584217383,69,55.31,12.39,39.0,11.41
Samarai,100,PG,1584217383,85,-10.62,150.67,77.13,4.97
Port Augusta,10,AU,1584217383,67,-32.5,137.77,59.0,11.41
Adrar,0,MR,1584217383,8,20.5,-10.07,70.47,3.89
Kemijärvi,23,FI,1584217383,87,66.71,27.43,7.83,7.92
Bud,90,US,1584217383,80,39.45,-86.18,37.99,13.87
Mokhsogollokh,67,RU,1584217384,97,61.47,128.92,-16.47,2.73
Waddān,65,LY,1584217384,22,29.16,16.14,69.03,6.8
Santos Reyes Nopala,20,MX,1584217121,74,16.11,-97.16,86.0,5.82
Hornepayne,0,CA,1584217384,80,49.21,-84.77,20.61,6.69
Loandjili,20,CG,1584217385,83,-4.76,11.86,84.2,5.82
Mugur-Aksy,84,RU,1584217385,65,50.35,90.5,7.65,6.35
Moramanga,72,MG,1584217385,96,-18.93,48.2,62.19,3.4
Wynyard,68,AU,1584217385,77,-41.0,145.72,52.0,4.0
